goos: darwin
goarch: arm64
pkg: github.com/Suhaibinator/open-splunk/internal/collector
cpu: Apple M4 Max
BenchmarkNDJSONDecoder/canonical     	  141649	      1627 ns/op	  63.32 MB/s	    2184 B/op	      46 allocs/op
BenchmarkNDJSONDecoder/canonical     	  143696	      1640 ns/op	  62.80 MB/s	    2184 B/op	      46 allocs/op
BenchmarkNDJSONDecoder/canonical     	  148687	      1644 ns/op	  62.66 MB/s	    2184 B/op	      46 allocs/op
BenchmarkNDJSONDecoder/nested        	   70081	      3319 ns/op	  37.67 MB/s	    4456 B/op	     119 allocs/op
BenchmarkNDJSONDecoder/nested        	   74032	      3299 ns/op	  37.89 MB/s	    4456 B/op	     119 allocs/op
BenchmarkNDJSONDecoder/nested        	   73362	      3283 ns/op	  38.08 MB/s	    4456 B/op	     119 allocs/op
BenchmarkNDJSONDecoder/high_fields   	     937	    253004 ns/op	  56.12 MB/s	  376560 B/op	    6354 allocs/op
BenchmarkNDJSONDecoder/high_fields   	     961	    252661 ns/op	  56.19 MB/s	  376560 B/op	    6354 allocs/op
BenchmarkNDJSONDecoder/high_fields   	     957	    254074 ns/op	  55.88 MB/s	  376560 B/op	    6354 allocs/op
BenchmarkNativeDecoder/docker-json-file         	  114333	      2088 ns/op	  53.63 MB/s	    2688 B/op	      62 allocs/op
BenchmarkNativeDecoder/docker-json-file         	  116091	      2093 ns/op	  53.51 MB/s	    2688 B/op	      62 allocs/op
BenchmarkNativeDecoder/docker-json-file         	  117771	      2083 ns/op	  53.77 MB/s	    2688 B/op	      62 allocs/op
BenchmarkNativeDecoder/nginx-combined           	  146229	      1697 ns/op	  60.11 MB/s	    2392 B/op	      47 allocs/op
BenchmarkNativeDecoder/nginx-combined           	  138697	      1675 ns/op	  60.89 MB/s	    2392 B/op	      47 allocs/op
BenchmarkNativeDecoder/nginx-combined           	  145476	      1685 ns/op	  60.55 MB/s	    2392 B/op	      47 allocs/op
BenchmarkNativeDecoder/apache-common            	  156357	      1542 ns/op	  55.14 MB/s	    2208 B/op	      42 allocs/op
BenchmarkNativeDecoder/apache-common            	  152486	      1533 ns/op	  55.46 MB/s	    2208 B/op	      42 allocs/op
BenchmarkNativeDecoder/apache-common            	  156658	      1552 ns/op	  54.76 MB/s	    2208 B/op	      42 allocs/op
BenchmarkNativeDecoder/apache-combined          	  149373	      1666 ns/op	  58.83 MB/s	    2392 B/op	      47 allocs/op
BenchmarkNativeDecoder/apache-combined          	  147727	      1695 ns/op	  57.82 MB/s	    2392 B/op	      47 allocs/op
BenchmarkNativeDecoder/apache-combined          	  139528	      1698 ns/op	  57.71 MB/s	    2392 B/op	      47 allocs/op
BenchmarkNativeDecoder/logfmt                   	  121386	      1956 ns/op	  57.26 MB/s	    2000 B/op	      61 allocs/op
BenchmarkNativeDecoder/logfmt                   	  121766	      1959 ns/op	  57.16 MB/s	    2000 B/op	      61 allocs/op
BenchmarkNativeDecoder/logfmt                   	  125289	      1926 ns/op	  58.15 MB/s	    2000 B/op	      61 allocs/op
BenchmarkNativeDecoder/log4j2-pattern           	  232483	      1045 ns/op	  98.56 MB/s	    1376 B/op	      25 allocs/op
BenchmarkNativeDecoder/log4j2-pattern           	  240475	      1047 ns/op	  98.39 MB/s	    1376 B/op	      25 allocs/op
BenchmarkNativeDecoder/log4j2-pattern           	  235604	      1058 ns/op	  97.33 MB/s	    1376 B/op	      25 allocs/op
BenchmarkNativeDecoder/logback-pattern          	  238173	      1026 ns/op	  64.31 MB/s	    1312 B/op	      25 allocs/op
