goos: darwin
goarch: arm64
pkg: github.com/Suhaibinator/open-splunk/internal/collector
cpu: Apple M4 Max
BenchmarkNDJSONDecoder/canonical     	  126714	      1745 ns/op	  59.01 MB/s	    2464 B/op	      55 allocs/op
BenchmarkNDJSONDecoder/canonical     	  131394	      1791 ns/op	  57.51 MB/s	    2464 B/op	      55 allocs/op
BenchmarkNDJSONDecoder/canonical     	  136442	      1795 ns/op	  57.38 MB/s	    2464 B/op	      55 allocs/op
BenchmarkNDJSONDecoder/nested        	   67933	      3431 ns/op	  36.43 MB/s	    4808 B/op	     129 allocs/op
BenchmarkNDJSONDecoder/nested        	   68674	      3597 ns/op	  34.75 MB/s	    4808 B/op	     129 allocs/op
BenchmarkNDJSONDecoder/nested        	   65989	      3464 ns/op	  36.08 MB/s	    4808 B/op	     129 allocs/op
BenchmarkNDJSONDecoder/high_fields   	     840	    283910 ns/op	  50.01 MB/s	  439696 B/op	    6369 allocs/op
BenchmarkNDJSONDecoder/high_fields   	     852	    280745 ns/op	  50.57 MB/s	  439696 B/op	    6369 allocs/op
BenchmarkNDJSONDecoder/high_fields   	     871	    274418 ns/op	  51.74 MB/s	  439696 B/op	    6369 allocs/op
BenchmarkNativeDecoder/docker-json-file         	  100989	      2318 ns/op	  48.31 MB/s	    3048 B/op	      72 allocs/op
BenchmarkNativeDecoder/docker-json-file         	  106839	      2261 ns/op	  49.53 MB/s	    3048 B/op	      72 allocs/op
BenchmarkNativeDecoder/docker-json-file         	  106334	      2288 ns/op	  48.96 MB/s	    3048 B/op	      72 allocs/op
BenchmarkNativeDecoder/nginx-combined           	  110415	      2190 ns/op	  46.57 MB/s	    3320 B/op	      64 allocs/op
BenchmarkNativeDecoder/nginx-combined           	  109159	      2257 ns/op	  45.19 MB/s	    3320 B/op	      64 allocs/op
BenchmarkNativeDecoder/nginx-combined           	  108588	      2150 ns/op	  47.45 MB/s	    3320 B/op	      64 allocs/op
BenchmarkNativeDecoder/apache-common            	  132128	      1845 ns/op	  46.06 MB/s	    2664 B/op	      56 allocs/op
BenchmarkNativeDecoder/apache-common            	  130614	      1873 ns/op	  45.39 MB/s	    2664 B/op	      56 allocs/op
BenchmarkNativeDecoder/apache-common            	  130044	      1846 ns/op	  46.04 MB/s	    2664 B/op	      56 allocs/op
BenchmarkNativeDecoder/apache-combined          	  110612	      2145 ns/op	  45.69 MB/s	    3320 B/op	      64 allocs/op
BenchmarkNativeDecoder/apache-combined          	  111015	      2168 ns/op	  45.20 MB/s	    3320 B/op	      64 allocs/op
BenchmarkNativeDecoder/apache-combined          	  111907	      2149 ns/op	  45.61 MB/s	    3320 B/op	      64 allocs/op
BenchmarkNativeDecoder/logfmt                   	   90579	      2668 ns/op	  41.98 MB/s	    2648 B/op	      79 allocs/op
BenchmarkNativeDecoder/logfmt                   	   91389	      2685 ns/op	  41.72 MB/s	    2648 B/op	      79 allocs/op
BenchmarkNativeDecoder/logfmt                   	   89721	      2679 ns/op	  41.80 MB/s	    2648 B/op	      79 allocs/op
BenchmarkNativeDecoder/log4j2-pattern           	  192763	      1271 ns/op	  81.01 MB/s	    1896 B/op	      36 allocs/op
BenchmarkNativeDecoder/log4j2-pattern           	  195258	      1278 ns/op	  80.60 MB/s	    1896 B/op	      36 allocs/op
BenchmarkNativeDecoder/log4j2-pattern           	  192741	      1274 ns/op	  80.83 MB/s	    1896 B/op	      36 allocs/op
BenchmarkNativeDecoder/logback-pattern          	  188971	      1267 ns/op	  52.08 MB/s	    1832 B/op	      36 allocs/op
BenchmarkNativeDecoder/logback-pattern          	  194084	      1290 ns/op	  51.17 MB/s	    1832 B/op	      36 allocs/op
BenchmarkNativeDecoder/logback-pattern          	  192201	      1258 ns/op	  52.48 MB/s	    1832 B/op	      36 allocs/op
BenchmarkNativeMixedInputs/ndjson-only          	   79419	      2981 ns/op	  38.91 MB/s	    4688 B/op	     100 allocs/op
BenchmarkNativeMixedInputs/ndjson-only          	   80112	      2965 ns/op	  39.12 MB/s	    4688 B/op	     100 allocs/op
BenchmarkNativeMixedInputs/ndjson-only          	   78548	      2998 ns/op	  38.69 MB/s	    4688 B/op	     100 allocs/op
BenchmarkNativeMixedInputs/ndjson-and-java      	   86000	      2836 ns/op	  56.78 MB/s	    4232 B/op	      86 allocs/op
BenchmarkNativeMixedInputs/ndjson-and-java      	   84723	      2834 ns/op	  56.80 MB/s	    4232 B/op	      86 allocs/op
BenchmarkNativeMixedInputs/ndjson-and-java      	   86557	      2817 ns/op	  57.16 MB/s	    4232 B/op	      86 allocs/op
BenchmarkCollectorAllocationCases/logfmt_plain_large         	    1626	    134645 ns/op	 486.88 MB/s	  140575 B/op	      32 allocs/op
BenchmarkCollectorAllocationCases/logfmt_plain_large         	    1854	    128844 ns/op	 508.80 MB/s	  140571 B/op	      32 allocs/op
BenchmarkCollectorAllocationCases/logfmt_plain_large         	    1838	    131331 ns/op	 499.17 MB/s	  140571 B/op	      32 allocs/op
BenchmarkCollectorAllocationCases/logfmt_escaped_large       	    1056	    227687 ns/op	 215.97 MB/s	  148764 B/op	      33 allocs/op
BenchmarkCollectorAllocationCases/logfmt_escaped_large       	    1038	    230665 ns/op	 213.18 MB/s	  148764 B/op	      33 allocs/op
BenchmarkCollectorAllocationCases/logfmt_escaped_large       	    1032	    232000 ns/op	 211.96 MB/s	  148764 B/op	      33 allocs/op
BenchmarkCollectorAllocationCases/logfmt_numeric_lookalikes  	   69464	      3356 ns/op	  23.54 MB/s	    3488 B/op	      96 allocs/op
BenchmarkCollectorAllocationCases/logfmt_numeric_lookalikes  	   70912	      3367 ns/op	  23.46 MB/s	    3488 B/op	      96 allocs/op
BenchmarkCollectorAllocationCases/logfmt_numeric_lookalikes  	   72879	      3349 ns/op	  23.59 MB/s	    3488 B/op	      96 allocs/op
BenchmarkCollectorAllocationCases/ndjson_constants           	  116377	      2051 ns/op	  25.35 MB/s	    2776 B/op	      58 allocs/op
BenchmarkCollectorAllocationCases/ndjson_constants           	  115948	      2045 ns/op	  25.42 MB/s	    2776 B/op	      58 allocs/op
BenchmarkCollectorAllocationCases/ndjson_constants           	  117918	      2022 ns/op	  25.72 MB/s	    2776 B/op	      58 allocs/op
BenchmarkCollectorAllocationCases/logfmt_constants           	  142920	      1658 ns/op	  24.12 MB/s	    1824 B/op	      43 allocs/op
BenchmarkCollectorAllocationCases/logfmt_constants           	  147462	      1660 ns/op	  24.09 MB/s	    1824 B/op	      43 allocs/op
BenchmarkCollectorAllocationCases/logfmt_constants           	  144297	      1680 ns/op	  23.81 MB/s	    1824 B/op	      43 allocs/op
BenchmarkCollectorAllocationCases/raw_large                  	    4900	     43965 ns/op	1397.48 MB/s	  132096 B/op	      21 allocs/op
BenchmarkCollectorAllocationCases/raw_large                  	    4969	     42879 ns/op	1432.87 MB/s	  132096 B/op	      21 allocs/op
BenchmarkCollectorAllocationCases/raw_large                  	    5023	     44041 ns/op	1395.05 MB/s	  132096 B/op	      21 allocs/op
BenchmarkCollectorAllocationCases/access_plain               	  113466	      2139 ns/op	  43.95 MB/s	    3280 B/op	      63 allocs/op
BenchmarkCollectorAllocationCases/access_plain               	  117079	      2107 ns/op	  44.62 MB/s	    3280 B/op	      63 allocs/op
BenchmarkCollectorAllocationCases/access_plain               	  114553	      2100 ns/op	  44.76 MB/s	    3280 B/op	      63 allocs/op
BenchmarkCollectorAllocationCases/access_binary              	  111900	      2139 ns/op	  44.88 MB/s	    3320 B/op	      63 allocs/op
BenchmarkCollectorAllocationCases/access_binary              	  113361	      2143 ns/op	  44.79 MB/s	    3320 B/op	      63 allocs/op
BenchmarkCollectorAllocationCases/access_binary              	  114466	      2156 ns/op	  44.53 MB/s	    3320 B/op	      63 allocs/op
BenchmarkCollectorPatternAllocations/fields_1/bytes_32       	  359678	       601.4 ns/op	  53.21 MB/s	    1144 B/op	      24 allocs/op
BenchmarkCollectorPatternAllocations/fields_1/bytes_32       	  404522	       615.3 ns/op	  52.00 MB/s	    1144 B/op	      24 allocs/op
BenchmarkCollectorPatternAllocations/fields_1/bytes_32       	  398828	       610.1 ns/op	  52.45 MB/s	    1144 B/op	      24 allocs/op
BenchmarkCollectorPatternAllocations/fields_5/bytes_32       	  218371	      1133 ns/op	  28.24 MB/s	    1920 B/op	      37 allocs/op
BenchmarkCollectorPatternAllocations/fields_5/bytes_32       	  215414	      1133 ns/op	  28.26 MB/s	    1920 B/op	      37 allocs/op
BenchmarkCollectorPatternAllocations/fields_5/bytes_32       	  219104	      1153 ns/op	  27.74 MB/s	    1920 B/op	      37 allocs/op
BenchmarkCollectorPatternAllocations/fields_32/bytes_32      	   45242	      5361 ns/op	  34.69 MB/s	    9368 B/op	     120 allocs/op
BenchmarkCollectorPatternAllocations/fields_32/bytes_32      	   42795	      5675 ns/op	  32.77 MB/s	    9368 B/op	     120 allocs/op
BenchmarkCollectorPatternAllocations/fields_32/bytes_32      	   43360	      5335 ns/op	  34.87 MB/s	    9368 B/op	     120 allocs/op
BenchmarkCollectorPatternAllocations/fields_1024/bytes_32    	    1586	    153624 ns/op	  39.95 MB/s	  265664 B/op	    3098 allocs/op
BenchmarkCollectorPatternAllocations/fields_1024/bytes_32    	    1527	    152723 ns/op	  40.19 MB/s	  265664 B/op	    3098 allocs/op
BenchmarkCollectorPatternAllocations/fields_1024/bytes_32    	    1606	    153137 ns/op	  40.08 MB/s	  265664 B/op	    3098 allocs/op
BenchmarkCollectorPatternAllocations/fields_5/bytes_1048576  	     356	    652645 ns/op	1606.66 MB/s	 2099010 B/op	      37 allocs/op
BenchmarkCollectorPatternAllocations/fields_5/bytes_1048576  	     368	    653857 ns/op	1603.68 MB/s	 2099010 B/op	      37 allocs/op
BenchmarkCollectorPatternAllocations/fields_5/bytes_1048576  	     358	    661186 ns/op	1585.90 MB/s	 2099010 B/op	      37 allocs/op
PASS
